angry,calm,happy,sad
TRICXOH12903CCBDCD,TRMEAMQ128F4230D2D,TRRDPPV128F427F150,TRODLMH128F424883F
TRKEUKY128F423D2F1,TRIVWJB128F92DF2DA,TRACHGE128F9330C03,TRIRYJP128F4275809
TRUIABD128F4299812,TRGUJUQ128F9308BE4,TRMHUPX128F4286774,TRUMHRR12903CFE45E
TRWLSRE128F425B219,TRKEFHB128F93344EB,TRXRTSM128F4243625,TRXLWQK128F932E450
TRGLYRS12903D01AEA,TRGWXLM128F93457F2,TRKBRMS128E0780FB4,TRJCDMR128F9326530
TRTSRWR12903CE1DB0,TRUADMO128F14A35BB,TRDQPBH128F931BC94,TRCERDE128F92F40C9
TRLCQPN128F422B9AF,TRSNSFE128F4275481,TRVLBYC128F4263805,TRNFHVL128F4264EBB
TRAEDJJ128F426A526,TRCTGBN128F42479EE,TRMONBA128EF367466,TRYKNGV12903CDE414
TRMONBA128EF367466,TRZXQIC128F92D848E,TRYWNSY128F933719B,TRIHWQR128EF349B43
TRUKSWO128F4281B40,TRXAANI128F930B9D6,TRUKFXN12903CE76ED,TRJUQLR128F425A46C
TRRWQUI128F428A3FC,TRSHVLD128F930EE18,TRJETWU128F4226068,TRIVWJB128F92DF2DA
TRKIOVM128F428B47C,TRQGPKM128F1475D2B,TRDXIMB128F4286E24,TRWURQM12903CE3C77
TRNDSOX128F425B359,TROMCPI128F4276E37,TRQLIWC128F42520EA,TRMUHVE128F42569D4
TREGPNG128F146AD66,TRHQTWH128F4277BCE,TRPZUMI128F932538A,TRCFJSV128F4265F82
TRWXCAX128F92D4F59,TRZCNEX128F4275487,TRNDGIP128F1456701,TRRHTBU128F4296B51
TRCACOC128F92DB4D4,TRINORA128F1458E7B,TRNJETK128F933434E,TRFZVLM128E0784CC4
TRIQHAU128F42775E4,TRSCJBV128F9347E3F,TRQXJHA128F931469D,TRXOISH128F4272BF5
TRMGGAS128F146DD14,TRXETMU128F42ACF97,TRNRYLK128F148ADA1,TRHGPST128F4275FF7
TRAIGRF128F9332355,TRBYJEE128F9331269,TRJRBMW128F9321412,TRYQFVG12903CE956E
TRQMUWF128F42ACF03,TRLUHBN128F4247021,TRRWVUG128F93379BD,TRCNYCK128F9300A73
TRATZKJ128E079832E,TRYBTYA128EF35A439,TRHQTWH128F4277BCE,TRWFREL128F1493959
TRNSYJG128F4293974,TRYMRCM128F42B9219,TRGVQSQ128F424A5E5,TRQCKJU128F426ADD9
TRMLDJI128F931108E,TRHMAOX128F9340E53,TRRHVQK12903C9ABF3,TRFZSGY128F423EFF7
TRLCHCU128F932B3D1,TRJVGIY128F425FDA6,TRZZBYQ128F426457B,TRSDQFC128F424860E
TRPFPWF128F423773F,TRGGLQD12903D1256C,TRMXJCA128F4239CD2,TRLHHAD128F1457E83
TRBTEJU128F930C3F6,TRJVWET128F42B10A0,TRUEDIW128E0784CDE,TRIWMOK128F1466967
TREJSNX128F429B0E6,TRNNXKW128F149EBD7,TRSPUUU128F1482491,TRFHALA128F14ACC8B
TREBBJP128F4275C4D,TRSSNGU128F4281EB6,TROXEWC128F93206B0,TRXXMRH128F42B829F
TRKXOZF128F92FBDD4,TRJHUXQ128F14757B5,TRPKPCD128F42903FD,TRCMQIA128F931F82E
TRSNLMV128F4298776,TRNGFPE128F427612E,TRDNDCB128F426218A,TRUQRKO128F92F5CF7
TRVNQLT128F92E7D96,TRWBIOF12903CEB121,TRITPKR128F427FFA1,TRPGLFC128F145D697
TRZZQLL128F428DD6E,TRNYACI12903CDFD7A,TRIAHIA128F425B2BC,TRMKIWT128F92CAA40
TROGPWC128F14650EF,TRFHJIY128F427D4C9,TRONRXB128F92DE6BC,TRGAYXI128F932DF1A
TRGCAWQ128F930BD9A,TRDOYTU128F931C822,TRKGLRV12903CE26C3,TRQLIWC128F42520EA
TREFZGH128F934F393,TRZVUDB128F92D2C63,TRMIVCS12903CB809E,TRPLDUR128F1491A95
TRYHPUK128F4267D5A,TRSRMJD128E0782C07,TRAAWVV12903CE827E,TRONHMD128F14564FB
TRZXRGQ128F428CEBC,TRWEOYR128F92D2C5E,TRPEIHF128F9322535,TRFOCKB128F92D93E7
TRWXXZU12903CEB0EC,TRZIHGB128F4253BCE,TRJVGIY128F425FDA6,TREORMH128F429C47B
TRSHICS128F421C276,TRMDLCG12903CB84B5,TRGHCKT128F424203E,TRTZGOF128F9300BD7
